0,42.29190697,-83.24087772,30,10
5,42.29309549,-83.23987025,30,10
10,42.29439502,-83.23878399,30,10
15,42.29567745,-83.23769685,30,10
20,42.29679738,-83.23674806,30,10
25,42.29803202,-83.23571857,30,10
30,42.29932085,-83.23464162,30,10
40,42.30036218,-83.23370503,30,10
45,42.29972565,-83.23203159,120,10
50,42.29900567,-83.23018404,120,10
55,42.29833726,-83.22847034,120,10
60,42.29769955,-83.22684033,120,10
65,42.2970203,-83.22509044,120,10
70,42.29631697,-83.22325271,120,10
75,42.29565488,-83.22154622,120,10
85,42.29488876,-83.219485,120,10
90,42.29447653,-83.2213547,240,10
95,42.29404957,-83.22324222,240,10
100,42.29362233,-83.2251065,240,10
105,42.29317144,-83.22707466,240,10
110,42.29272652,-83.2290473,240,10
115,42.29232172,-83.23078831,240,10
120,42.29192828,-83.23259337,240,10
125,42.29149455,-83.23447687,240,10
130,42.29106795,-83.23631346,240,10
135,42.29038417,-83.239437,240,10
140,42.29039288,-83.24044938,240,10
145,42.290631,-83.2415967,240,10
150,42.290631,-83.2415967,240,10
